courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
202168,Life Coaching,https://www.reed.co.uk/courses/life-coaching/202168#/courses/discount?sortby=MostPopular,CPD Courses,373,373 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Life Coaching (Endorsed Certificate)
249336,Gel Manicure and Nail Technician Diploma - CPD Accredited,https://www.reed.co.uk/courses/gel-manicure-and-nail-technician-diploma-cpd-accredited/249336#/courses/discount?sortby=MostPopular,One Education,204,204 students purchased this course,10.0,199.0,yes,no,no,missing,missing
218311,Touch Typing and Shorthand Certificate - CPD Accredited,https://www.reed.co.uk/courses/touch-typing-and-shorthand-certificate-cpd-accredited/218311#/courses/discount?sortby=MostPopular,Be-a.co.uk,674,674 students purchased this course,14.0,99.0,no,no,no,missing,missing
228006,Business Management - Course,https://www.reed.co.uk/courses/business-management-course/228006#/courses/discount?sortby=MostPopular,Brentwood Open learning College,640,640 students purchased this course,10.0,760.0,no,yes,no,ABC Awards,Level 5 Diploma Business Management (Certificate of Achievement)
78720,Car Maintenance - CPD Certified ,https://www.reed.co.uk/courses/car-maintenance-cpd-certified/78720#/courses/discount?sortby=MostPopular,International Open Academy,0,"1,032 students purchased this course",12.0,119.0,yes,no,no,missing,missing
110601,Hairdressing Masterclass (NVQ Level 1 & 2 Equivalent) ,https://www.reed.co.uk/courses/hairdressing-masterclass-nvq-level-1-2-equivalent/110601#/courses/discount?sortby=MostPopular,OfCourse,581,581 students purchased this course,29.0,149.0,no,no,no,missing,missing
250529,Business Analysis,https://www.reed.co.uk/courses/business-analysis/250529#/courses/discount?sortby=MostPopular,Brentwood Open learning College,717,717 students purchased this course,10.0,760.0,no,yes,no,ABC Awards,Level 5 Diploma in IT Business Analysis (Endorsed Certficate)
250169,Site Management,https://www.reed.co.uk/courses/site-management/250169#/courses/discount?sortby=MostPopular,Brentwood Open learning College,300,300 students purchased this course,10.0,760.0,no,yes,no,ABC Awards,Level 5 Diploma Site Management (Certificate of Achievement)
97896,Accountancy ,https://www.reed.co.uk/courses/accountancy/97896#/courses/discount?sortby=MostPopular,Oxford Home Study College,198,198 students purchased this course,10.0,740.0,no,yes,no,ABC Awards,Level 5 Diploma Accountancy (Certificate of Achievement)
245355,Criminology Diploma - 3 CPD Accredited Courses ,https://www.reed.co.uk/courses/criminology-diploma-3-cpd-accredited-courses/245355#/courses/discount?sortby=MostPopular,International Open Academy,142,142 students purchased this course,49.0,337.0,yes,no,no,missing,missing
126334,Microsoft Office 2016,https://www.reed.co.uk/courses/microsoft-office-2016/126334#/courses/discount?sortby=MostPopular,1 Training,470,470 students purchased this course,10.0,349.0,yes,no,no,missing,missing
247511,"Admin, Secretarial & PA Level 7 l Endorsed Diploma l Ms Office Module included",https://www.reed.co.uk/courses/admin-secretarial-pa-level-7-l-endorsed-diploma-l-ms-office-module-included/247511#/courses/discount?sortby=MostPopular,Inspire London College Ltd,112,112 students purchased this course,10.0,995.0,no,yes,no,Training Qualifications UK Ltd,"Level 7 Diploma in Admin, secretarial & PA (Endorsed Certificate of Completion)"
238857,Diploma in Graphic Design,https://www.reed.co.uk/courses/diploma-in-graphic-design/238857#/courses/discount?sortby=MostPopular,Course Gate,651,651 students purchased this course,10.0,175.0,yes,no,no,missing,missing
131490,Digital Marketing and Advertising,https://www.reed.co.uk/courses/digital-marketing-and-advertising/131490#/courses/discount?sortby=MostPopular,1 Training,422,422 students purchased this course,10.0,349.0,yes,no,no,missing,missing
247204,Train the Trainer,https://www.reed.co.uk/courses/train-the-trainer/247204#/courses/discount?sortby=MostPopular,Inspire London College Ltd,223,223 students purchased this course,10.0,695.0,no,yes,no,Training Qualifications UK Ltd,Level 5 Diploma in Train the Trainer (Endorsed Diploma)
250244,Level 3 Certificate in Assessing Vocational Achievement (CAVA) (RQF) – A1 Assessors Award,https://www.reed.co.uk/courses/level-3-certificate-in-assessing-vocational-achievement-cava-rqf--a1-assessors-award/250244#/courses/discount?sortby=MostPopular,One Education,341,341 students purchased this course,23.0,599.0,no,yes,yes,Training Qualifications UK Ltd,Level 3 Certificate in Assessing Vocational Achievement (QCF)
196354,Care Certificate - Online Training Courses - 15 Care Certificate Standards ,https://www.reed.co.uk/courses/care-certificate-online-training-courses-15-care-certificate-standards/196354#/courses/discount?sortby=MostPopular,Mandatory Compliance,186,186 students purchased this course,19.99,49.99,yes,no,no,missing,missing
264321,First Aid Training,https://www.reed.co.uk/courses/first-aid-training/264321#/courses/discount?sortby=MostPopular,Training Express Ltd,69,69 students purchased this course,10.0,35.0,yes,no,no,missing,missing
